Name,Symbol,Price (in $),Change,Volume (in millions),Market Cap (in billions),P/E Ratio
Petróleo Brasileiro S.A. - Petrobras,PBR,12.63,-0.03,15.443,78.515,5.9
Planet Labs PBC,PL,9.78,0.11,14.903,3.011,
Circle Internet Group,CRCL,125.32,-8.38,14.72,31.458,
Centene Corporation,CNC,33.26,-0.82,14.55,16.335,8.07
AGNC Investment Corp.,AGNC,10.18,-0.05,14.365,10.723,33.93
The Coca-Cola Company,KO,67.01,-0.61,18.652,288.389,23.76
"Cisco Systems, Inc.",CSCO,66.53,-1.16,18.35,263.006,26.09
DraftKings Inc.,DKNG,43.98,-1.89,14.174,21.835,
Equinox Gold Corp.,EQX,10.61,-0.36,13.912,8.312,
Norwegian Cruise Line Holdings Ltd.,NCLH,26.65,-0.29,13.695,12.044,18.25
"Marvell Technology, Inc.",MRVL,67.35,0.76,14.838,58.062,
Adobe Inc.,ADBE,349.36,-1.19,14.079,148.199,22.37
Keurig Dr Pepper Inc.,KDP,27.23,-0.36,15.06,36.99,24.1
Corning Incorporated,GLW,77.04,1.57,14.737,65.994,81.96
"Chewy, Inc.",CHWY,34.66,-1.36,13.317,14.378,96.28
Infosys Limited,INFY,16.96,-0.11,12.967,71.646,22.03
"Lumen Technologies, Inc.",LUMN,6.05,-0.04,12.899,6.208,
UnitedHealth Group Incorporated,UNH,352.51,-1.1,12.846,319.259,15.27
Bloom Energy Corporation,BE,67.26,-0.03,12.809,15.739,611.45
Gerdau S.A.,GGB,3.03,-0.09,12.088,6.042,10.45
Oklo Inc.,OKLO,82.71,2.74,11.958,12.209,
"Macy's, Inc.",M,16.95,-0.51,11.823,4.536,9.63
"NIKE, Inc.",NKE,73.0,-1.33,11.791,107.814,33.8
"Uber Technologies, Inc.",UBER,95.89,1.21,11.759,199.971,16.34
IAMGOLD Corporation,IAG,11.16,0.11,11.745,6.425,7.8
"iQIYI, Inc.",IQ,2.61,-0.01,11.646,2.513,261.0
Webull Corporation,BULL,13.35,-0.25,12.027,6.602,89.0
Carnival Corporation & plc,CCL,31.51,-0.96,11.669,42.724,16.5
Dow Inc.,DOW,25.04,0.02,11.662,17.749,
"Coeur Mining, Inc.",CDE,15.53,0.16,11.501,9.981,38.82
Alphabet Inc.,GOOG,241.38,0.6,14.072,2915.0,25.71
Telefonaktiebolaget LM Ericsson (publ),ERIC,7.92,-0.13,11.708,26.778,14.14
"The Gap, Inc.",GAP,22.9,-1.33,11.43,8.497,9.87
New Gold Inc.,NGD,6.52,-0.01,11.33,5.167,32.6
Verizon Communications Inc.,VZ,43.97,-0.17,13.66,185.392,10.23
NuScale Power Corporation,SMR,36.34,1.16,11.439,4.866,
Stellantis N.V.,STLA,9.32,-0.25,11.954,27.535,
Kinross Gold Corporation,KGC,23.28,0.02,11.0,28.382,18.77
Amcor plc,AMCR,8.28,-0.05,12.864,19.084,25.88
"Aurora Innovation, Inc.",AUR,5.67,0.1,10.927,10.463,
"Oscar Health, Inc.",OSCR,19.33,-0.1,10.848,4.998,
The AES Corporation,AES,12.88,0.03,10.721,9.171,9.91
Boston Scientific Corporation,BSX,102.71,-1.63,10.542,152.191,61.14
"Baidu, Inc.",BIDU,114.78,2.96,10.531,40.638,10.49
Viatris Inc.,VTRS,9.96,-0.21,11.96,11.612,
Wells Fargo & Company,WFC,81.46,0.21,10.497,260.952,14.0
Southwest Airlines Co.,LUV,31.66,-0.06,10.396,16.627,49.47
The Boeing Company,BA,215.94,-4.05,11.075,163.285,
"VNET Group, Inc.",VNET,9.57,0.46,10.232,2.575,
Strategy Inc,MSTR,331.44,5.42,10.772,93.981,23.26
Bristol-Myers Squibb Company,BMY,46.2,-1.34,9.973,94.037,18.55
"Coupang, Inc.",CPNG,32.41,-0.04,11.307,59.086,162.05
First Horizon Corporation,FHN,22.51,-0.08,9.819,11.429,14.52
Novo Nordisk A/S,NVO,54.87,0.57,9.779,240.93,14.03
"NextEra Energy, Inc.",NEE,71.64,0.32,9.343,147.528,24.96
