name,location,price (in lacs),area (in sqft),bhk,starred
"sowcarpet, george town, chennai, chennai central","sowcarpet, george town",150.0,1478,2,0.0
"sai mukesh keerthi,brand new",iyyappanthangal,58.5,954,2,0.0
on request,"agaramthen, vandalur kelambakkam road",35.0,701,2,0.0
babu flats,"rose nagar, kovilambakkam",94.7,1160,3,0.0
vinayaga flats,ambattur,45.0,1020,2,0.0
adhithya residency,kovilambakkam,93.79,1218,3,0.0
adhith residency,"veeramani nagar, kovilambakkam",105.0,1236,3,0.0
udhayam saimugil,chitlapakkam,125.0,1647,3,0.0
"gerugambakkam, chennai, chennai west",gerugambakkam,109.00000000000001,900,3,0.0
babu residency,"veeramani nagar, kovilambakkam",91.57,1159,3,0.0
"thalambur, omr, chennai south","thalambur, omr",107.0,1500,3,0.0
prabha homes blissful,"puzhuthivakkam, madipakkam",80.69,828,2,0.0
prabha homes,"puzhuthivakkam, madipakkam",84.91,877,2,0.0
jeeva avenue,sithalapakkam,145.0,1045,3,0.0
casagrand northern star,"madhavaram, 
·
rera",130.0,1126,2,0.0
shri sai garden,perumbakkam,155.0,1800,4,0.0
new flat,ambattur,62.89,904,2,0.0
prabha homes suceela,"puzhuthivakkam, madipakkam",86.19,806,2,0.0
"grand adore,new",madipakkam,122.0,1475,3,0.0
"muekesh flat,new",iyyappanthangal,56.49,955,2,0.0
"svf majestic flats,ambattur chennai north",ambattur,55.0,1026,3,0.0
"r foundation,poonamallee,chennai",poonamallee,48.19,790,2,0.0
aristo elegance by r foundation,poonamallee,56.36,924,2,0.0
"g m adore,new flat",madipakkam,72.88,878,2,0.0
sri rathis luxury,"kolathur, 
·
rera",81.0,675,2,0.0
"vijay shanthi apartment, west mamabalam","postal colony, west mambalam",43.0,530,1,0.0
"mukesh keerthi flat,new",poonamallee,66.5,1162,3,0.0
new flat,ambattur,61.35,905,2,0.0
"mukesh keerthi homes ,new",kattupakkam,57.0,957,2,0.0
babu flats,"rose nagar, kovilambakkam",93.85,1215,3,0.0
babu residency,nanmangalam,94.16,1159,3,0.0
babu residency,kovilambakkam,94.0,1239,3,0.0
babu flats,kovilambakkam,96.56,1260,3,0.0
babu flats,kovilambakkam,93.65,1165,3,0.0
prabha homes blissful,"puzhuthivakkam, madipakkam",85.33,828,2,0.0
on request,kattupakkam,47.69,548,1,0.0
392 lig flats,ganallur,27.0,583,1,0.0
ayana 95,ayanambakkam,103.0,1238,3,0.0
dra d elite,"ganallur, 
·
rera",100.0,1058,2,3.4
vgn southern avenue,"potheri, kattankulathur",62.0,1229,3,3.8
"grand adore, new flat",madipakkam,112.00000000000001,1344,3,0.0
coralbay,thiruvanmiyur,490.00000000000006,2598,4,0.0
alankar horizon,selaiyur,110.00000000000001,1730,3,0.0
alankar horizon,medavakkam,108.0,1600,3,0.0
agaram then,"agaramthen, vandalur kelambakkam road",119.0,1163,3,0.0
alankar horizon,selaiyur,108.0,1600,3,0.0
partha enclave,kattupakkam,47.65,548,1,0.0
new flat,ayyapakkam,59.0,1071,2,0.0
new flat,ayyapakkam,59.0,1070,2,0.0
new flat,ayyapakkam,58.82,1074,2,0.0
new flat,ayyapakkam,58.85,1072,2,0.0
new flat,ayyapakkam,53.95,931,2,0.0
new flat,ayanambakkam,56.2,969,2,0.0
new flat,ayyapakkam,58.0,1000,2,0.0
new flat,ayanambakkam,83.51,1440,3,0.0
babu residency,"rose nagar, kovilambakkam",95.17,1236,3,0.0
on request,anna nagar west,280.0,1471,3,0.0
cj flats,old pallavaram,98.5,1473,3,0.0
ayana 95,ayanambakkam,58.0,632,1,0.0
navins hillview avenue,thirumudivakkam,100.0,1472,3,3.7
purva somerset house,"dy,  south
·
rera",325.0,1968,3,3.4
on request,"dy,  south",409.99999999999994,1894,3,0.0
"sai mukesh ,new flat",iyyappanthangal,58.5,959,2,0.0
"sai mukesh flat,new",iyyappanthangal,69.95,1181,3,0.0
"mugesh enclave,new flat",iyyappanthangal,59.0,957,2,0.0
adore new flat,madipakkam,122.0,1475,3,0.0
"sai phaadham ,new flat",poonamallee,69.9,996,2,0.0
"mukesh krrthi homes,new",iyyappanthangal,69.95,1187,3,0.0
lakshmi nivas,madambakkam,77.92,1163,3,0.0
alankar horizon,tambaram,108.0,1560,3,0.0
"r foundation,chennai",poonamallee,48.8,800,2,0.0
alankar horizon,tambaram,73.46,1150,2,0.0
adhith enclave,nanmangalam,90.0,1158,3,0.0
