name,location,price (in lacs),area (in sqft),bhk,starred
vgk unity kingdom,"medavakkam, 
·
rera",96.0,1245,3,0.0
new flat,ayappakkam,82.72,1425,3,0.0
sri smiley house,perambur,75.0,757,2,0.0
scc homes,"virugambakkam, arcot road",111.00000000000001,1025,2,0.0
scc homes,"virugambakkam, arcot road",177.0,1456,3,0.0
ozone the metrozone,anna nagar,260.0,2062,3,0.0
spr highliving district,"perambur, 
·
rera",126.0,1166,2,0.0
new flat,kolathur,41.65,685,2,0.0
spr highliving district,"perambur, 
·
rera",357.0,2596,4,0.0
casagrand pavilion,"thalambur, omr",86.5,900,2,3.8
shri sai garden,perumbakkam,89.0,1200,2,0.0
ramkhar homes's subha graha,"virugambakkam, arcot road",94.08,980,2,0.0
on request,guduvancheri,40.88,806,2,0.0
on request,guduvancheri,29.76,536,1,0.0
on request,guduvancheri,40.0,925,2,0.0
on request,guduvancheri,43.0,960,2,0.0
"perumanttunallur, chennai, chennai south",perumanttunallur,83.0,1005,3,0.0
ramkhar homes's orchid,kolathur,78.6,1048,2,0.0
ayana 95,ayanambakkam,59.0,501,1,0.0
vgk summer garden,"vengaivasal, medavakkam
·
rera",83.13,1341,3,0.0
"mukesh flat,new",poonamallee,32.8,560,1,0.0
"kozhumanivakkam, mangadu, chennai west","kozhumanivakkam, mangadu",67.0,740,2,0.0
"mangadu, chennai, chennai west",mangadu,77.0,941,2,0.0
"mangadu, chennai, chennai west",mangadu,72.0,800,2,0.0
"mangadu, chennai, chennai west",mangadu,78.0,700,3,0.0
"mangadu, chennai, chennai west",mangadu,90.0,1100,2,0.0
hiliving serenity,"madhavaram, 
·
rera",110.00000000000001,1300,3,0.0
on request mandavelipakkam new flat,mandavelipakkam,375.0,1850,3,0.0
brigade xanadu,"mogappair, 
·
rera",117.0,1291,2,4.0
scc homes,mugalivakkam,72.0,992,2,0.0
scc homes,perumanttunallur,75.0,900,3,0.0
scc homes,kilpauk,165.0,1210,3,0.0
sri sai flats,chitlapakkam,83.11,1120,3,0.0
lifestyle podium,"t nagar, 
·
rera",490.00000000000006,2133,2,0.0
new flat,ayyapakkam,41.99,841,2,0.0
new flats,ayyapakkam,43.9,878,2,0.0
new flat,ayyapakkam,42.2,844,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,54.9,1300,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,58.0,1025,2,0.0
alankar horizon,"camp road, selaiyur",110.00000000000001,1730,3,0.0
on request,madhavaram,122.0,1738,3,0.0
livehomes,kovilambakkam,117.0,1450,3,0.0
vishnu sky towers,madambakkam,139.0,1986,4,0.0
sri sai flats,chitlapakkam,84.5,1155,3,0.0
new flat,kolathur,41.56,681,2,0.0
new flat,kolathur,41.59,680,2,0.0
vinayagaburam,kolathur,43.16,704,2,0.0
vinayagaburam,kolathur,43.11,705,2,0.0
vinayagaburam,kolathur,41.47,682,2,0.0
srb builders,"sankarapuram, sithalapakkam",50.65,887,2,0.0
"perungalathur, chennai, chennai south",perungalathur,136.0,1200,3,0.0
"perungalathur, chennai, chennai south",perungalathur,118.0,1100,3,0.0
navins hillview avenue,thirumudivakkam,44.0,615,2,3.7
navins hillview avenue,thirumudivakkam,44.4,615,2,3.7
keerthi homes,iyyappanthangal,77.98,1186,3,0.0
keerthi homes,iyyappanthangal,77.95,1186,3,0.0
shriram park 63,"perungalathur, 
·
rera",148.0,1970,3,3.8
on request,medavakkam,62.5,1027,2,0.0
shriram park 63,"perungalathur, 
·
rera",138.0,1840,3,3.8
"kovur, chennai, chennai west",kovur,125.0,1050,3,0.0
"kolathur, chennai, chennai north",kolathur,85.0,600,3,0.0
brigade xanadu,"mogappair, 
·
rera",112.00000000000001,1062,2,4.0
122 west by shriram,mangadu,71.85,1283,3,0.0
navganesh eminent,ayakapuram,50.08,795,2,0.0
on requested,kolathur,52.48,833,2,0.0
navins hanging gardens,"valasaravakkam, 
·
rera",130.0,1005,2,3.8
ramaniyam ocean dew,"pallikaranai, 
·
rera",140.0,1420,3,0.0
on request,kovur,73.94,1276,3,0.0
happy homes,"banu nagar, ambattur",60.44,934,2,0.0
alankar horizon,east tambaram,83.17,1210,2,0.0
adroit house of ambal,"anna salai, 
·
rera",345.0,1723,3,0.0
adroit house of ambal,"anna salai, 
·
rera",250.0,1232,2,0.0
sai mugil,chitlapakkam,107.0,1647,3,0.0
on request,guduvancheri,40.0,960,2,0.0
on request,guduvancheri,38.0,950,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,46.0,798,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,45.95,800,2,0.0
urbanrise codename new porur,thirumazhisai,49.14,730,2,0.0
tambaram,tambaram,119.0,1163,3,0.0
new flat,kolathur,50.8,796,2,0.0
vinayagaburam,kolathur,50.0,794,2,0.0
marutham neptune,"koyambedu, 
·
rera",193.0,1846,4,0.0
alankar vridhi villa,"mappedu, selaiyur",125.0,1163,3,0.0
vishnu manor flats,"padmavathi nagar,madambakkam",62.76,884,2,0.0
lakshya,perungudi,83.61,961,2,0.0
hi living evita,madhavaram,75.0,962,2,0.0
vinayagaburam,kolathur,49.9,790,2,0.0
new flat,kolathur,43.04,706,2,0.0
vinayagaburam,kolathur,43.12,707,2,0.0
vinayagaburam,kolathur,41.6,681,2,0.0
new flat,kolathur,41.65,682,2,0.0
hansa one oh one,"nungambakkam, 
·
rera",350.0,1606,3,0.0
hansa one oh one,"nungambakkam, 
·
rera",352.0,1772,3,0.0
p t,"moovarasanpet, madipakkam",88.66,1364,3,0.0
akb solitaire,"mappedu, selaiyur",120.0,963,3,0.0
dharman's divine,"sankarapuram, sithalapakkam",57.49,1045,2,0.0
"agaram, thiruvanchery","thiruvanchery , selaiyur",119.0,1163,3,0.0
ss amaira,"thiruvanmiyur, 
·
rera",409.99999999999994,2031,3,0.0
livehomes,chitlapakkam,91.44,1168,3,0.0
prem enclave,valasaravakkam,92.52,983,2,0.0
vgk sri sai enclave,"west tambaram,  south",61.0,1045,2,0.0
brigade xanadu,"mogappair, 
·
rera",210.0,1877,3,4.0
navganesh eminent,kolathur,50.08,796,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,68.0,900,2,0.0
"thaiyur, omr, chennai south","thaiyur, omr",71.6,1200,2,0.0
new flats,kolathur,85.75,1203,3,0.0
"rose flats, jawahar nagar, perambur","jawahar nagar, perambur",85.6,960,2,0.0
scc homes,porur,77.84,960,2,0.0
livehomes,avadi,46.41,844,2,0.0
on request,"vengaivasal, medavakkam",60.09,1015,2,0.0
"propguider,exurb","thiruporur, omr",18.0,395,1,0.0
scc homes,nanmangalam,71.29,1066,2,0.0
scc homes,nanmangalam,39.44,576,1,0.0
new perunagalathur,"new perungalathur, perungalathur",119.0,1163,3,0.0
sri smiley house,perambur,75.0,759,2,0.0
casagrand pavilion,"thalambur, omr",87.0,1000,2,3.8
new flat,ambattur,83.56,1440,3,0.0
new flat,ambattur,53.9,932,2,0.0
"kovur, chennai, chennai west",kovur,95.0,789,3,0.0
"kundrathur, chennai, chennai south",kundrathur,78.0,640,2,0.0
new flat,kolathur,41.63,682,2,0.0
new flat,kolathur,43.1,709,2,0.0
vinayagaburam,kolathur,43.18,708,2,0.0
navins hanging gardens,"valasaravakkam, 
·
rera",135.0,1012,2,3.8
navganesh eden,kolathur,43.13,707,2,0.0
new flat,kolathur,50.0,795,2,0.0
ramkhar homes's subha graha,"virugambakkam, arcot road",93.1,980,2,0.0
brigade xanadu,"mogappair, 
·
rera",135.0,1288,3,4.0
"kundrathur, chennai, chennai south",kundrathur,92.0,1050,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,81.95,1000,3,0.0
golden opulence,poonamallee,104.0,1442,3,4.2
"mappedu, selaiyur, chennai south","mappedu, selaiyur",119.0,1163,3,0.0
scc homes,"saidapet, gst road",90.16,760,2,0.0
alankar vridhi villa,tambaram,125.0,1163,3,0.0
on request,thirumazhisai,59.78,1063,3,0.0
spr osian chlorophyll,"porur, 
·
rera",150.0,1757,3,4.0
lumina,guduvancheri,49.9,925,2,0.0
on request,koyambedu,133.0,1517,3,0.0
"thangappapuram, perumanttunallur, chennai, chennai south","thangappapuram, perumanttunallur",83.0,1000,3,0.0
on request,t nagar,55.0,660,2,0.0
"kanathur, ecr, chennai south","kanathur, ecr",150.0,1300,4,0.0
"kolathur, chennai, chennai north",kolathur,150.0,1200,5,0.0
aishwaryam majestica,,72.0,1141,3,0.0
sree roop kamal apartments,choolai,50.0,800,2,0.0
urbanrise revolution one,,24.25,361,1,0.0
new flat,kolathur,43.75,682,2,0.0
p t,perungudi,114.99999999999999,1275,3,0.0
p t,"moovarasanpet, madipakkam",83.62,1248,3,0.0
urbanrise revolution one,,45.0,636,2,0.0
kaveri flats,"z block anna nagar, anna nagar west",260.0,1250,3,0.0
homes royale,"astalakshmi nagar, valasaravakkam",77.0,917,2,0.0
scc homes,chitlapakkam,86.32,1155,3,0.0
hiranandani parks,"oragadam, 
·
rera",90.0,1859,3,4.5
aditi venus,,54.0,871,2,0.0
p t,"moovarasanpet, madipakkam",85.0,1248,3,0.0
p t,"moovarasanpet, madipakkam",91.0,1364,3,0.0
"gerugambakkam, chennai, chennai west",gerugambakkam,90.0,810,3,0.0
scc homes,velachery,129.0,1500,3,0.0
shantiniketan vega,,32.0,827,2,0.0
seaside apartment,"kanathur, ecr",75.0,1200,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,45.0,640,2,0.0
urbanrise codename new porur,"thirumazhisai, 
·
rera",49.14,849,2,3.8
urbanrise codename new porur,"thirumazhisai, 
·
rera",51.22,885,3,3.8
"kovur, chennai, chennai west",kovur,82.0,660,3,0.0
stone and acres atmos phase 2,"madambakkam, 
·
rera",99.0,1500,3,0.0
"thalambur, omr, chennai south","thalambur, omr",76.0,1200,2,0.0
brigade xanadu,"mogappair, 
·
rera",129.0,1364,3,4.0
new flats,chitlapakkam,83.5,1250,3,0.0
"aishwarya apartments, vadapalani","kumaran colony, gst road",52.0,640,2,0.0
new flats,"puzhuthivakkam, madipakkam",126.0,1418,3,0.0
tvh quadrant,"adyar, 
·
rera",450.0,2235,3,3.6
scc homes,mugalivakkam,68.65,913,2,0.0
casagrand first city,"ganallur, 
·
rera",73.0,985,2,3.9
krishna garden,,83.0,890,3,0.0
scc homes,"virugambakkam, arcot road",120.0,1123,2,0.0
"sai mukesh keerthi,new flat",kattupakkam,69.9,1186,3,0.0
"mukesh keerthi homes,new",iyyappanthangal,56.1,951,2,0.0
shriram park 63,"perungalathur, 
·
rera",100.0,1385,2,3.8
casagrand utopia,,140.0,1580,3,0.0
dharman's divine,"sankarapuram, sithalapakkam",57.48,1045,2,0.0
scc homes,west mambalam,218.00000000000003,1600,3,0.0
rl royal homes,"tirumalai nagar, perungudi",99.0,940,2,0.0
pacifica pride towers,"padur, 
·
rera",89.0,1468,3,3.7
on request,"defence colony, gst road",250.0,1735,3,0.0
scc homes,alwarpet,211.0,1267,3,0.0
doshi oriana,perungudi,85.0,1235,2,0.0
scc homes,mugalivakkam,68.5,1283,2,0.0
rkc pride,kolathur,78.0,1000,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,46.0,800,2,0.0
"perumbakkam, chennai, chennai south",perumbakkam,99.0,955,3,0.0
on request,"west tambaram,  south",55.0,986,2,0.0
on request,"west tambaram,  south",55.0,1011,2,0.0
sri sai garden,perumbakkam,110.00000000000001,1000,3,0.0
"guduvancheri, chennai, chennai south",guduvancheri,60.0,1150,2,0.0
"potheri, kattankulathur, chennai south","potheri, kattankulathur",39.0,920,2,0.0
scc homes,"vandalur, gst road",49.94,1020,2,0.0
brigade xanadu,"mogappair, 
·
rera",110.00000000000001,1062,2,4.0
sidharth crown,"madhavaram, 
·
rera",46.0,586,1,0.0
appaswamy habitat,siruseri,78.0,1244,2,0.0
felicity flats,"ullagaram, madipakkam",126.0,1418,3,0.0
golden opulence,poonamallee,45.0,691,2,4.2
brigade xanadu,mogappair west,204.99999999999997,1878,3,0.0
"selaiyur, chennai, chennai south",selaiyur,119.0,1163,3,0.0
scc homes,"kuberan nagar, madipakkam",67.52,910,2,0.0
alankar vridhi villa,east tambaram,125.0,1163,3,0.0
"perungalathur, chennai, chennai south",perungalathur,136.0,1250,3,0.0
on request,koyambedu,153.0,1737,4,0.0
marutham neptune,"koyambedu, 
·
rera",160.0,1471,3,0.0
"baba foundations, madipakkam, chennai","senthuran colony, madipakkam",60.0,1172,2,0.0
urbanrise revolution one,"padur, 
·
rera",59.0,888,2,0.0
"thaiyur, omr, chennai south","thaiyur, omr",80.0,865,3,0.0
"uthandi, ecr, chennai south","uthandi, ecr",349.0,1600,4,0.0
on request,guduvancheri,29.0,540,1,0.0
on request,alwarpet,379.0,1600,3,0.0
livehomes,kundrathur,48.42,914,2,0.0
livehomes,vanagaram,59.74,937,2,0.0
on request,kovur,50.0,760,2,0.0
vishnu sky towers,madambakkam,78.68,1124,3,0.0
livehomes,perumbakkam,53.91,856,2,0.0
livehomes,nandanam,211.0,1279,3,0.0
lml arshiya,"kattupakkam, 
·
rera",69.0,992,2,0.0
pacifica pride towers,"padur, 
·
rera",70.0,1147,2,3.7
pacifica pride towers,"padur, 
·
rera",75.0,1265,2,3.7
vgk summer garden,"vengaivasal, medavakkam
·
rera",86.8,1400,3,0.0
"kayarambedu, chennai, chennai south",kayarambedu,75.0,880,3,0.0
"kayarambedu, chennai, chennai south",kayarambedu,67.0,800,3,0.0
"kayarambedu, chennai, chennai south",kayarambedu,76.0,870,3,0.0
new flat,ayanambakkam,53.9,931,2,0.0
pacifica aurum,"padur, 
·
rera",75.0,1261,2,3.8
risland the ace,"perungudi, 
·
rera",135.0,1187,2,0.0
new flat,kolathur,41.69,680,2,0.0
abhiramapuram 2bhk flat no lift,abhiramapuram,110.00000000000001,820,2,0.0
vinayagaburam,kolathur,41.63,682,2,0.0
"kattupakkam, chennai, chennai west",kattupakkam,160.0,1200,3,0.0
"kovur, chennai, chennai west",kovur,110.00000000000001,1350,2,0.0
sri sai villas,perumbakkam,143.0,1800,4,0.0
tvs emerald greenacres,"kolapakkam,vandalur kelambakkam road, 
·
rera",95.0,1275,3,3.7
shri sai garden,perumbakkam,98.0,1200,3,0.0
sri sai villas,perumbakkam,96.0,1200,3,0.0
sri sai resident,perumbakkam,98.0,900,3,0.0
saradeuz paradise,,75.0,1275,3,0.0
jayam sri sai garden hill view,"perumbakkam, 
·
rera",85.2,1000,2,0.0
gemini aster,"thalambur, omr
·
rera",49.9,980,2,0.0
arun excello heights,oragadam,34.9,985,2,0.0
"red hills, chennai, chennai north",red hills,31.96,601,1,0.0
"perungavoor, chennai, chennai north",perungavoor,31.95,600,1,0.0
new flat,kolathur,43.0,702,2,0.0
arihant panache,"mangali nagar, arumbakkam",243.00000000000003,1826,3,0.0
casagrand pavilion,"thalambur, omr",84.0,1020,2,3.8
new flat,ayappakkam,56.14,968,2,0.0
hi living evita,madhavaram,83.0,1155,3,0.0
vijay shanthi lotus pond,kelambakkam,48.0,1155,3,3.6
kg house of champions,"perumbakkam, 
·
rera",50.0,817,2,0.0
kg house of champions,"perumbakkam, 
·
rera",47.0,796,2,0.0
sss jayam homes,,87.0,900,2,0.0
steps stone vatsa,kattupakkam,65.0,974,2,0.0
happy homes,kolathur,84.68,1161,3,0.0
"bharathi nagar,ayanavaram, chennai, chennai north","bharathi nagar,ayanavaram",220.00000000000003,820,6,0.0
shriram park 63,"perungalathur, 
·
rera",129.0,1725,3,3.8
shriram park 63,"perungalathur, 
·
rera",104.0,1385,3,3.8
new flat,kolathur,41.48,680,2,0.0
purva somerset house,"dy,  south
·
rera",459.99999999999994,3739,4,3.4
hiranandani sinovia,"egattur, omr",199.0,1740,3,0.0
jayam sri sai garden hill view,"perumbakkam, 
·
rera",135.0,1800,4,0.0
dhanalaxmi homes,nanganallur,192.0,1746,3,0.0
on request,perungalathur,86.58,1204,3,0.0
on request,perungalathur,91.35,1278,3,0.0
mega apartment,"od garden, kolapakkam",66.0,1132,2,0.0
sri sai resident,perumbakkam,99.0,1000,4,0.0
victoria towers,"kazhipattur, omr",95.0,1985,3,0.0
tower of adyar by nahar,"adyar, 
·
rera",374.0,2416,4,3.9
tower of adyar by nahar,"adyar, 
·
rera",374.0,2419,4,3.9
"adyar, chennai, chennai south",adyar,357.0,1948,3,0.0
jayam sri sai garden hill view,"perumbakkam, 
·
rera",97.0,1400,3,0.0
jayam sri sai garden hill view,"perumbakkam, 
·
rera",96.6,1200,3,0.0
jayam sri sai garden hill view,"perumbakkam, 
·
rera",88.0,1000,3,0.0
on request,thirumazhisai,59.78,1065,3,0.0
"maduravoyal, chennai, chennai west",maduravoyal,,3120,3,0.0
ruby residency,"irumbuliyur, west tambaram",45.0,804,2,0.0
"kundrathur, chennai, chennai south",kundrathur,125.0,800,3,0.0
ramcons dominion,nungambakkam,265.0,1658,3,0.0
isha shubham,perungalathur,65.0,966,2,0.0
isha shubham,perungalathur,83.0,1495,3,0.0
shriram park 63,"perungalathur, 
·
rera",129.0,1225,2,3.8
"moulivakkam, chennai, chennai west",moulivakkam,120.0,880,6,0.0
radiance empire,"perambur, 
·
rera",85.0,940,2,3.9
"lakshmi apartment, velachery","bhuvaneshwari nagar, velachery",82.0,831,2,0.0
eta globevill,sriperumbudur,60.0,1302,3,3.8
"62nd street, 10th sector","kk nagar, gst road",175.0,880,5,0.0
on request,"padhuvancherry, madambakkam",35.0,702,2,0.0
nakoda enclave,"jawahar nagar, perambur",110.00000000000001,1090,3,0.0
appaswamy platina,porur,204.99999999999997,1708,3,4.3
"madipakkam, chennai, chennai south",madipakkam,63.0,895,2,0.0
"kodambakkam, gst road, chennai south","kodambakkam, gst road",125.0,940,2,0.0
palms prudential,thiruverkadu,60.0,1157,3,0.0
tdc jayam,"nehru nagar,chromepet",95.0,1380,3,0.0
vishranthi coconut grove,velachery,300.0,1748,3,0.0
casagrand urbano phase 1,ponmar,110.00000000000001,1600,3,0.0
on request,"padhuvancherry, madambakkam",31.7,634,2,0.0
on request,ponmar,35.0,700,2,0.0
"mukesh flats,new flat",iyyappanthangal,69.95,1186,3,0.0
rp mahalaxmi,valasaravakkam,70.0,875,2,0.0
venture allset castle,kottivakkam,165.0,1504,3,0.0
vjs ashraya,medavakkam,78.0,1295,3,0.0
on request,"padhuvancherry, madambakkam",33.2,664,2,0.0
sharvam,thoraipakkam,65.0,1235,3,0.0
apartment,medavakkam,66.0,1003,2,0.0
"thalambur, omr, chennai south","thalambur, omr",73.81,1200,2,0.0
on request,sithalapakkam,33.0,708,2,0.0
srb ruby homes,perambur,80.0,1078,3,0.0
prestige bella vista,porur,190.0,1990,3,4.3
new flat,kolathur,50.0,791,2,0.0
"navalur, chennai, chennai south",navalur,69.0,900,2,0.0
"perumbakkam, chennai, chennai south",perumbakkam,78.3,1200,3,0.0
sri sai resident,perumbakkam,83.68,900,3,0.0
casagrand pavilion,"thalambur, omr",88.0,900,3,3.8
sri sai garden,perumbakkam,83.62,1000,3,0.0
sri sai resident,perumbakkam,86.45,923,3,0.0
vasantha flats,madipakkam,65.0,1050,3,0.0
kars investment,"kodambakkam, gst road",125.0,1200,3,0.0
"kovur, chennai, chennai west",kovur,78.0,800,2,0.0
lalitham apartments,perungudi,64.06,942,2,0.0
stepsstone madhav,nanmangalam,28.0,530,1,0.0
"block 10 jj nagar, mogappair, chennai north","block 10 jj nagar, mogappair",65.0,468,3,0.0
lancor infinys,"keelkattalai, 
·
rera",106.0,1115,3,0.0
apartment,velachery,118.0,1275,3,0.0
papa builder,adambakkam,96.47,877,2,0.0
"kanathur, ecr, chennai south","kanathur, ecr",225.0,2560,5,0.0
"gerugambakkam, chennai, chennai west",gerugambakkam,87.0,940,2,0.0
"vgp selva nagar extension, velachery, chennai south","vgp selva nagar extension, velachery",58.0,895,2,0.0
"kovur, chennai, chennai west",kovur,75.0,810,2,0.0
new flat,kolathur,50.0,796,2,0.0
"potheri, kattankulathur, chennai south","potheri, kattankulathur",36.5,850,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,43.0,910,2,0.0
uthandi seaside,"uthandi, ecr",125.0,1600,3,0.0
new flat,kolathur,50.07,790,2,0.0
"potheri, kattankulathur, chennai south","potheri, kattankulathur",36.0,800,2,0.0
kg house of champions,"perumbakkam, 
·
rera",45.0,796,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,42.5,910,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,54.95,1005,2,0.0
"royal flat,new","svs nagar, valasaravakkam",79.0,917,2,0.0
anry homes,"radha avenue, valasaravakkam",76.56,880,2,0.0
"potheri, kattankulathur, chennai south","potheri, kattankulathur",40.0,995,2,0.0
saai mugil,chitlapakkam,107.0,1647,3,0.0
happy homes,kolathur,84.68,1160,3,0.0
"kolathur, chennai, chennai north",kolathur,122.0,1175,3,0.0
"vaani garden , anbzhagan street , ambattur","vijayalakshmi puram, ambattur",51.0,838,2,0.0
anchinaiyar koil nr,mylapore,65.0,830,2,0.0
"kottivakkam, chennai, chennai south",kottivakkam,90.0,1327,3,0.0
vishnu aravind villas,"mappedu, selaiyur",85.0,1506,3,0.0
vijay shanthi lotus pond,kelambakkam,12.5,410,1,3.6
hiranandani parks,"oragadam, 
·
rera",75.0,2256,3,4.5
brigade xanadu,"mogappair, 
·
rera",175.0,1657,3,4.0
kg signature city,mogappair west,75.0,1110,3,3.9
"yadavi flat,new flat",adambakkam,86.0,882,2,0.0
"mukesh keerthi home, iyyapanthangal",porur,69.8,1188,3,0.0
"guduvancheri, chennai, chennai south",guduvancheri,58.0,1100,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,35.0,900,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,32.0,800,2,0.0
"kundrathur, chennai, chennai south",kundrathur,57.5,468,2,0.0
brigade xanadu,"mogappair, 
·
rera",160.0,1880,3,4.0
brigade xanadu,"mogappair, 
·
rera",100.0,1270,2,4.0
ashirvaadh homes,"bharathi nagar, west tambaram",32.0,787,2,0.0
mandaveli on main road nr bss hospital,mandaveli,120.0,900,2,0.0
subiksham flat new,keelkattalai,66.0,943,2,0.0
mm triumph,madipakkam,57.0,1147,2,0.0
amarprakash the royal castle,,29.51,639,2,0.0
scc homes,chromepet,66.03,985,2,0.0
evergreen homes,kovur,70.0,721,2,0.0
mahalaxmi nagar,mangadu,52.0,600,2,0.0
livehomes,anna nagar,137.0,1098,2,0.0
scc homes,west mambalam,150.0,1380,3,0.0
livehomes,alwarpet,211.0,1279,3,0.0
"clover villa,new villa",pallikaranai,85.0,735,4,0.0
arun excello hari priya,"guduvancheri, 
·
rera",19.0,390,1,0.0
"propguider,jubilee residences",guduvancheri,18.96,480,1,0.0
emerald enclave,"janakiraman colony, villivakkam",40.0,753,2,0.0
"padappai, chennai, chennai south",padappai,32.0,800,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,55.0,1010,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,35.9,800,2,0.0
"potheri, kattankulathur, chennai south","potheri, kattankulathur",40.0,1100,2,0.0
tdc lifespace,"viduthalai nagar, kovilambakkam",58.0,1210,3,0.0
arc residency,royapettah,75.0,720,2,0.0
jayam sri sai dual avenue,"navalur, 
·
rera",90.0,1401,3,0.0
"navalur, chennai, chennai south",navalur,78.0,1020,2,0.0
golden opulence,poonamallee,85.0,1490,3,4.2
mukesh keerthi flat,iyyappanthangal,56.0,950,2,0.0
"east tambaram, chennai, chennai south",east tambaram,119.0,1163,3,0.0
"camp road, selaiyur, chennai south","camp road, selaiyur",119.0,1163,3,0.0
"gerugambakkam, chennai, chennai west",gerugambakkam,88.0,940,2,0.0
mahalakshmi nagar,mangadu,110.00000000000001,1200,5,0.0
"gerugambakkam, chennai, chennai west",gerugambakkam,64.0,600,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,37.0,1000,2,0.0
urbanrise revolution one,"padur, 
·
rera",36.0,525,1,0.0
doshi euphoria,perungudi,63.9,785,2,3.5
doshi euphoria,perungudi,40.0,415,1,3.5
doshi risington,"karapakkam, omr",85.0,1024,2,0.0
silver palm apartments,padi,71.68,1024,3,0.0
livehomes,keelkattalai,74.23,990,2,0.0
scc homes,kilpauk,165.0,1204,3,0.0
scc homes,kilpauk,127.0,977,3,0.0
scc homes,kilpauk,145.0,1120,3,0.0
"guduvancheri, chennai, chennai south",guduvancheri,29.0,600,1,0.0
livehomes,old pallavaram,64.65,995,2,0.0
scc homes,kilpauk,139.0,979,2,0.0
livehomes,mugalivakkam,68.0,913,2,0.0
livehomes,porur,58.72,816,2,0.0
livehomes,ponmar,89.0,1690,3,0.0
praveen vetrivela,west mambalam,50.0,750,2,0.0
livehomes,"west tambaram,  south",74.0,1560,3,0.0
livehomes,periyar nagar,96.73,1075,2,0.0
tvh svasti,thoraipakkam,80.0,1085,2,0.0
"mugalivakkam, chennai, chennai west",mugalivakkam,180.0,1000,3,0.0
vgn fairmont,"dy,  south",171.0,1712,3,0.0
"sai villas, thaiyur, omr","thaiyur, omr",35.0,700,2,0.0
"sai gokul avenue, kelambakkam, chennai",kelambakkam,40.0,900,2,0.0
vikas vibhav,gerugambakkam,70.0,600,2,0.0
"sai gokul avenue, thiruporur, omr","thiruporur, omr",48.0,1000,3,0.0
livehomes,t nagar,409.0,1950,3,0.0
venture allset castle,,165.0,1504,3,0.0
arunsa flats,"apuram, chromepet",68.14,934,2,0.0
purvankara swan lake,padur,88.0,1740,3,0.0
tdc best,"ram nagar, madipakkam",55.0,970,2,0.0
"thirumullaivoyal, chennai, chennai north",thirumullaivoyal,175.0,2400,3,0.0
dra d elite,ganallur,74.05,1058,2,0.0
chellappa flats,purasaiwakkam,52.9,605,2,0.0
chellappa flats,purasaiwakkam,91.8,1080,3,0.0
"guduvancheri, chennai, chennai south",guduvancheri,46.0,833,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,42.9,1050,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,105.0,1200,3,0.0
eta rosedale,padur,75.0,1631,3,0.0
mahalakshmi flats,"anbu nagar, valasaravakkam",76.0,1223,3,0.0
"mangadu, chennai, chennai west",mangadu,57.0,720,2,0.0
pacifica aurum,"padur, 
·
rera",85.0,1463,3,3.8
pacifica aurum,"padur, 
·
rera",85.0,1468,3,3.8
kg house of champions,"perumbakkam, 
·
rera",46.0,835,2,0.0
on requst,valasaravakkam,123.0,1380,3,0.0
on request,"kamakshi nagar, valasaravakkam",130.0,1465,3,0.0
dhanalakshmi nagar,iyyappanthangal,90.0,831,2,0.0
ramaniyam maanas,,100.0,952,2,0.0
sri sai garden,perumbakkam,82.23,1000,3,0.0
"gerugambakkam, chennai, chennai west",gerugambakkam,95.0,1200,2,0.0
on request,"velan nagar, valasaravakkam",75.0,917,2,0.0
on request,"alwarthirunagar, valasaravakkam",79.0,975,2,0.0
on request,"velan nagar, valasaravakkam",99.0,1260,3,0.0
on request,"velan nagar, valasaravakkam",98.0,1206,3,0.0
samanta,"gaperumal koil, gst road",24.9,530,1,0.0
prince village phase 1,tondiarpet,65.0,790,2,3.5
"kovur, chennai, chennai west",kovur,69.0,720,2,0.0
"mangadu, chennai, chennai west",mangadu,80.0,600,3,0.0
vgn ernest,avadi,46.0,510,1,3.8
jr annai construction,ponmar,45.0,1049,3,0.0
"navalur, chennai, chennai south",navalur,88.0,1200,3,0.0
sri sai villas,perumbakkam,105.0,1400,3,0.0
shanti enclave,madipakkam,55.0,947,2,0.0
"sendurpuram, kattupakkam, chennai west","sendurpuram, kattupakkam",135.0,856,3,0.0
lake vista's,pallikaranai,70.0,1000,2,0.0
marg pushpadruma,"thiruporur, omr",31.0,972,3,0.0
gemini aster,"thalambur, omr
·
rera",41.9,980,2,0.0
